2022 Federal Election Senate First Preferences By Polling Place for Division 107 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:19 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,107,Blaxland,154,Bankstown East,A,37972,0,A Above-the-line Votes,Animal Justice Party,23
NSW,107,Blaxland,154,Bankstown East,A,36425,1,"BROLLO, Darren",Animal Justice Party,2
NSW,107,Blaxland,154,Bankstown East,A,36430,2,"POWER, Julie",Animal Justice Party,0
NSW,107,Blaxland,154,Bankstown East,B,37966,0,B Above-the-line Votes,TNL,2
NSW,107,Blaxland,154,Bankstown East,B,36771,1,"KEEN, Steve",TNL,0
NSW,107,Blaxland,154,Bankstown East,B,36773,2,"GREEN, Melissa",TNL,0
NSW,107,Blaxland,154,Bankstown East,C,37976,0,C Above-the-line Votes,Citizens Party,5
NSW,107,Blaxland,154,Bankstown East,C,37147,1,"LIU, Kingsley",Citizens Party,0
NSW,107,Blaxland,154,Bankstown East,C,37148,2,"LAWLER, Ann",Citizens Party,1
NSW,107,Blaxland,154,Bankstown East,D,37984,0,D Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,7
NSW,107,Blaxland,154,Bankstown East,D,37149,1,"LAMB, Georgia",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,107,Blaxland,154,Bankstown East,D,37152,2,"DE VIVE, Suzanne",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,107,Blaxland,154,Bankstown East,E,37968,0,E Above-the-line Votes,The Greens,60
NSW,107,Blaxland,154,Bankstown East,E,36581,1,"SHOEBRIDGE, David",The Greens,4
NSW,107,Blaxland,154,Bankstown East,E,36585,2,"COHN, Amanda",The Greens,1
NSW,107,Blaxland,154,Bankstown East,E,36634,3,"FLOOD, Rochelle",The Greens,0
NSW,107,Blaxland,154,Bankstown East,E,36637,4,"SCOTT, Jane",The Greens,1
NSW,107,Blaxland,154,Bankstown East,E,36639,5,"ARYA, Hawa",The Greens,1
NSW,107,Blaxland,154,Bankstown East,E,36638,6,"WHEELER, Danielle",The Greens,1
NSW,107,Blaxland,154,Bankstown East,F,37969,0,F Above-the-line Votes,,3
NSW,107,Blaxland,154,Bankstown East,F,37143,1,"BODDY, Max",,0
NSW,107,Blaxland,154,Bankstown East,F,37145,2,"GRENFELL, Oscar",,0
NSW,107,Blaxland,154,Bankstown East,G,37983,0,G Above-the-line Votes,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",258
NSW,107,Blaxland,154,Bankstown East,G,37567,1,"PAYNE, Marise",Liberal,6
NSW,107,Blaxland,154,Bankstown East,G,37576,2,"CADELL, Ross",The Nationals,0
NSW,107,Blaxland,154,Bankstown East,G,37577,3,"MOLAN, Jim",Liberal,1
NSW,107,Blaxland,154,Bankstown East,G,37578,4,"PENFOLD, Alison Louise",The Nationals,0
NSW,107,Blaxland,154,Bankstown East,G,37581,5,"JARVIS, Mary-Lou",Liberal,0
NSW,107,Blaxland,154,Bankstown East,G,37584,6,"McGAHEY, Vicky",Liberal,1
NSW,107,Blaxland,154,Bankstown East,H,37981,0,H Above-the-line Votes,Reason Australia,3
NSW,107,Blaxland,154,Bankstown East,H,37396,1,"CARO, Jane",Reason Australia,0
NSW,107,Blaxland,154,Bankstown East,H,37397,2,"MAHER, Hannah Kate",Reason Australia,0
NSW,107,Blaxland,154,Bankstown East,H,37402,3,"RYALL, Diana",Reason Australia,0
NSW,107,Blaxland,154,Bankstown East,I,37987,0,I Above-the-line Votes,Socialist Alliance,3
NSW,107,Blaxland,154,Bankstown East,I,37484,1,"SANCHEZ, Paula",Socialist Alliance,0
NSW,107,Blaxland,154,Bankstown East,I,37502,2,"LEKA, Niko",Socialist Alliance,0
NSW,107,Blaxland,154,Bankstown East,I,37508,3,"EVANS, Rachel",Socialist Alliance,0
NSW,107,Blaxland,154,Bankstown East,J,37988,0,J Above-the-line Votes,Federal ICAC Now,2
NSW,107,Blaxland,154,Bankstown East,J,37478,1,"JONES, Ross",Federal ICAC Now,0
NSW,107,Blaxland,154,Bankstown East,J,37489,2,"ANDERSON, Gabrielle",Federal ICAC Now,0
NSW,107,Blaxland,154,Bankstown East,K,37977,0,K Above-the-line Votes,Australian Democrats,3
NSW,107,Blaxland,154,Bankstown East,K,37392,1,"BATY, Steven James",Australian Democrats,0
NSW,107,Blaxland,154,Bankstown East,K,37403,2,"ROGERS, Suzanne",Australian Democrats,0
NSW,107,Blaxland,154,Bankstown East,K,37404,3,"RICHARDS, Craig Edward",Australian Democrats,0
NSW,107,Blaxland,154,Bankstown East,L,37975,0,L Above-the-line Votes,Indigenous - Aboriginal Party of Australia,5
NSW,107,Blaxland,154,Bankstown East,L,36755,1,"WHYMAN, Owen Douglas",Indigenous - Aboriginal Party of Australia,0
