2022 Federal Election Senate First Preferences By Polling Place for Division 178 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:35 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
QLD,178,Wide Bay,5422,Cooroy,A,38182,0,A Above-the-line Votes,,10
QLD,178,Wide Bay,5422,Cooroy,A,37621,1,"HARRIS, Len",,0
QLD,178,Wide Bay,5422,Cooroy,A,37648,2,"YUILLE, Debra",,0
QLD,178,Wide Bay,5422,Cooroy,B,38169,0,B Above-the-line Votes,Socialist Alliance,1
QLD,178,Wide Bay,5422,Cooroy,B,36130,1,"LEES, Renee",Socialist Alliance,0
QLD,178,Wide Bay,5422,Cooroy,B,36133,2,"EMANUEL, Kamala",Socialist Alliance,0
QLD,178,Wide Bay,5422,Cooroy,C,38186,0,C Above-the-line Votes,Legalise Cannabis Australia,66
QLD,178,Wide Bay,5422,Cooroy,C,37686,1,"BRADLEY, Bernard Anthony",Legalise Cannabis Australia,4
QLD,178,Wide Bay,5422,Cooroy,C,37688,2,"LUYKEN, Suzette",Legalise Cannabis Australia,0
QLD,178,Wide Bay,5422,Cooroy,D,38187,0,D Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,6
QLD,178,Wide Bay,5422,Cooroy,D,37694,1,"MARTIN, Rhett",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
QLD,178,Wide Bay,5422,Cooroy,D,37697,2,"FIRESTONE, Timotheos",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
QLD,178,Wide Bay,5422,Cooroy,E,38173,0,E Above-the-line Votes,Reason Australia,1
QLD,178,Wide Bay,5422,Cooroy,E,36777,1,"WILLIAMS, Ron",Reason Australia,0
QLD,178,Wide Bay,5422,Cooroy,E,36780,2,"JORDAN, Frank",Reason Australia,0
QLD,178,Wide Bay,5422,Cooroy,F,38171,0,F Above-the-line Votes,TNL,2
QLD,178,Wide Bay,5422,Cooroy,F,36269,1,"BRENNAN, Bess",TNL,0
QLD,178,Wide Bay,5422,Cooroy,F,36277,2,"KENNISH, Hannah",TNL,0
QLD,178,Wide Bay,5422,Cooroy,F,36284,3,"HOPLEY, Steven",TNL,0
QLD,178,Wide Bay,5422,Cooroy,F,36292,4,"MOMSEN, Jonathon",TNL,0
QLD,178,Wide Bay,5422,Cooroy,F,36298,5,"INGRAM, Lloyd",TNL,0
QLD,178,Wide Bay,5422,Cooroy,F,36303,6,"CREIGHTON, Jack",TNL,0
QLD,178,Wide Bay,5422,Cooroy,G,38180,0,G Above-the-line Votes,Federal ICAC Now,0
QLD,178,Wide Bay,5422,Cooroy,G,37466,1,"PAYNE, Kerin",Federal ICAC Now,0
QLD,178,Wide Bay,5422,Cooroy,G,37481,2,"CARROLL, Ken",Federal ICAC Now,0
QLD,178,Wide Bay,5422,Cooroy,H,38185,0,H Above-the-line Votes,,1
QLD,178,Wide Bay,5422,Cooroy,H,37670,1,"DICKSON, Steve",,1
QLD,178,Wide Bay,5422,Cooroy,H,37672,2,"LLOYD, Rebecca",,0
QLD,178,Wide Bay,5422,Cooroy,I,38183,0,I Above-the-line Votes,,0
QLD,178,Wide Bay,5422,Cooroy,I,37659,1,"HEAD, Mike",,0
QLD,178,Wide Bay,5422,Cooroy,I,37665,2,"DAVIS, John",,0
QLD,178,Wide Bay,5422,Cooroy,J,38177,0,J Above-the-line Votes,Queensland Greens,151
QLD,178,Wide Bay,5422,Cooroy,J,36786,1,"ALLMAN-PAYNE, Penny",Queensland Greens,11
QLD,178,Wide Bay,5422,Cooroy,J,36791,2,"SRI, Anna",Queensland Greens,3
QLD,178,Wide Bay,5422,Cooroy,J,36793,3,"PENNINGS, Ben",Queensland Greens,0
QLD,178,Wide Bay,5422,Cooroy,J,36795,4,"SIDHU, Navdeep Singh",Queensland Greens,0
QLD,178,Wide Bay,5422,Cooroy,J,36796,5,"NELLIGAN, Alyce",Queensland Greens,0
QLD,178,Wide Bay,5422,Cooroy,J,36797,6,"HALEY, Rebecca",Queensland Greens,0
