2022 Federal Election Senate First Preferences By Polling Place for Division 214 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:40 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
VIC,214,Goldstein,3852,Bentleigh,A,37909,0,A Above-the-line Votes,Reason Australia,13
VIC,214,Goldstein,3852,Bentleigh,A,36960,1,"VEGA, Yolanda",Reason Australia,1
VIC,214,Goldstein,3852,Bentleigh,A,36963,2,"MILLWARD, Harry",Reason Australia,0
VIC,214,Goldstein,3852,Bentleigh,B,37921,0,B Above-the-line Votes,,0
VIC,214,Goldstein,3852,Bentleigh,B,37624,1,"RICHARDSON, Damien",,5
VIC,214,Goldstein,3852,Bentleigh,B,37628,2,"McBRIDE, John",,0
VIC,214,Goldstein,3852,Bentleigh,C,37915,0,C Above-the-line Votes,Australian Democrats,20
VIC,214,Goldstein,3852,Bentleigh,C,37391,1,"GREEN, Leonie",Australian Democrats,1
VIC,214,Goldstein,3852,Bentleigh,C,37400,2,"JAGOE, Stephen Peter",Australian Democrats,1
VIC,214,Goldstein,3852,Bentleigh,D,37903,0,D Above-the-line Votes,Liberal/The Nationals,673
VIC,214,Goldstein,3852,Bentleigh,D,36604,1,"HENDERSON, Sarah",Liberal,14
VIC,214,Goldstein,3852,Bentleigh,D,36614,2,"McKENZIE, Bridget",The Nationals,1
VIC,214,Goldstein,3852,Bentleigh,D,36617,3,"MIRABELLA, Greg",Liberal,0
VIC,214,Goldstein,3852,Bentleigh,D,36621,4,"KMETJ, Chrestyna",Liberal,1
VIC,214,Goldstein,3852,Bentleigh,D,36627,5,"HARRINGTON, Mick",The Nationals,0
VIC,214,Goldstein,3852,Bentleigh,D,36632,6,"BURGESS, David",Liberal,1
VIC,214,Goldstein,3852,Bentleigh,E,37919,0,E Above-the-line Votes,Legalise Cannabis Australia,47
VIC,214,Goldstein,3852,Bentleigh,E,37553,1,"SMITH, Elissa",Legalise Cannabis Australia,3
VIC,214,Goldstein,3852,Bentleigh,E,37559,2,"TAYLOR, Wayne",Legalise Cannabis Australia,0
VIC,214,Goldstein,3852,Bentleigh,F,37917,0,F Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,15
VIC,214,Goldstein,3852,Bentleigh,F,37448,1,"WEARNE, Madeleine",Sustainable Australia Party - Stop Overdevelopment / Corruption,3
VIC,214,Goldstein,3852,Bentleigh,F,37454,2,"LONG, Robert",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
VIC,214,Goldstein,3852,Bentleigh,G,37905,0,G Above-the-line Votes,Australian Values Party,3
VIC,214,Goldstein,3852,Bentleigh,G,36613,1,"BURSON, Chris",Australian Values Party,1
VIC,214,Goldstein,3852,Bentleigh,G,36616,2,"ASSER, Samantha",Australian Values Party,0
VIC,214,Goldstein,3852,Bentleigh,H,37911,0,H Above-the-line Votes,Derryn Hinch's Justice Party,21
VIC,214,Goldstein,3852,Bentleigh,H,37416,1,"HINCH, Derryn",Derryn Hinch's Justice Party,1
VIC,214,Goldstein,3852,Bentleigh,H,37418,2,"STANFIELD, Ruth",Derryn Hinch's Justice Party,1
VIC,214,Goldstein,3852,Bentleigh,I,37906,0,I Above-the-line Votes,Animal Justice Party,31
VIC,214,Goldstein,3852,Bentleigh,I,36623,1,"CURRIE, Bronwyn",Animal Justice Party,0
