2010 Federal Election Senate First Preferences By Polling Place for Division 118 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:03:12 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,118,Farrer,746,Albury,A,22214,0,A Ticket Votes,Socialist Alliance,9
NSW,118,Farrer,746,Albury,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,118,Farrer,746,Albury,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,118,Farrer,746,Albury,B,22230,0,B Ticket Votes,,2
NSW,118,Farrer,746,Albury,B,22023,1,"HODGES, Robert",,0
NSW,118,Farrer,746,Albury,B,22024,2,"FRIER, Bob",,0
NSW,118,Farrer,746,Albury,C,22224,0,C Ticket Votes,,0
NSW,118,Farrer,746,Albury,C,21904,1,"ROBINSON, Tony",,0
NSW,118,Farrer,746,Albury,C,21907,2,"SELBY, Noel",,0
NSW,118,Farrer,746,Albury,D,22215,0,D Ticket Votes,,0
NSW,118,Farrer,746,Albury,D,21429,1,"HODGES, Darrin",,0
NSW,118,Farrer,746,Albury,D,21430,2,"FOLKES, Nick",,0
NSW,118,Farrer,746,Albury,E,22220,0,E Ticket Votes,Building Australia,4
NSW,118,Farrer,746,Albury,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,118,Farrer,746,Albury,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,118,Farrer,746,Albury,F,22212,0,F Ticket Votes,Senator On-Line,1
NSW,118,Farrer,746,Albury,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,118,Farrer,746,Albury,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,118,Farrer,746,Albury,G,22222,0,G Ticket Votes,Communist,4
NSW,118,Farrer,746,Albury,G,21787,1,"LAWLER, Geoff",Communist,1
NSW,118,Farrer,746,Albury,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,118,Farrer,746,Albury,H,22233,0,H Ticket Votes,,1
NSW,118,Farrer,746,Albury,H,22021,1,"BLOOM, Nadia",,0
NSW,118,Farrer,746,Albury,H,22022,2,"IRELAND, Bede",,0
NSW,118,Farrer,746,Albury,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,2
NSW,118,Farrer,746,Albury,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,118,Farrer,746,Albury,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,118,Farrer,746,Albury,J,22219,0,J Ticket Votes,Australian Democrats,24
NSW,118,Farrer,746,Albury,J,21733,1,"CLANCY, Fiona",Australian Democrats,2
NSW,118,Farrer,746,Albury,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,118,Farrer,746,Albury,K,22218,0,K Ticket Votes,,0
NSW,118,Farrer,746,Albury,K,21714,1,"SAMPSON, Meg",,0
NSW,118,Farrer,746,Albury,K,21718,2,"HINCHCLIFFE, J",,0
NSW,118,Farrer,746,Albury,L,22232,0,L Ticket Votes,,0
NSW,118,Farrer,746,Albury,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,118,Farrer,746,Albury,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,118,Farrer,746,Albury,M,22207,0,M Ticket Votes,The Climate Sceptics,3
NSW,118,Farrer,746,Albury,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,0
NSW,118,Farrer,746,Albury,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,118,Farrer,746,Albury,N,22213,0,N Ticket Votes,Secular Party of Australia,3
NSW,118,Farrer,746,Albury,N,21229,1,"BRYCE, Ian",Secular Party of Australia,1
NSW,118,Farrer,746,Albury,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,118,Farrer,746,Albury,O,22216,0,O Ticket Votes,Shooters and Fishers,38
NSW,118,Farrer,746,Albury,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,4
NSW,118,Farrer,746,Albury,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,118,Farrer,746,Albury,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,17
NSW,118,Farrer,746,Albury,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,118,Farrer,746,Albury,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,118,Farrer,746,Albury,Q,22203,0,Q Ticket Votes,Australian Sex Party,71
NSW,118,Farrer,746,Albury,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,2
NSW,118,Farrer,746,Albury,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,118,Farrer,746,Albury,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,1
NSW,118,Farrer,746,Albury,R,22227,0,R Ticket Votes,,0
NSW,118,Farrer,746,Albury,R,21993,1,"BARKER, David",,0
NSW,118,Farrer,746,Albury,R,21994,2,"ZUREIK, S G",,0
NSW,118,Farrer,746,Albury,S,22204,0,S Ticket Votes,Socialist Equality Party,1
NSW,118,Farrer,746,Albury,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,118,Farrer,746,Albury,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,118,Farrer,746,Albury,T,22223,0,T Ticket Votes,,1
NSW,118,Farrer,746,Albury,T,21908,1,"BOURKE, William",,0
NSW,118,Farrer,746,Albury,T,21910,2,"O'CONNOR, Mark",,0
NSW,118,Farrer,746,Albury,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),2
NSW,118,Farrer,746,Albury,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,746,Albury,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,746,Albury,V,22209,0,V Ticket Votes,Family First,21
NSW,118,Farrer,746,Albury,V,21178,1,"SWANE, Greg",Family First,2
NSW,118,Farrer,746,Albury,V,21182,2,"LAMB, Phil",Family First,0
NSW,118,Farrer,746,Albury,W,22206,0,W Ticket Votes,Labor,616
NSW,118,Farrer,746,Albury,W,21012,1,"FAULKNER, John",Labor,5
NSW,118,Farrer,746,Albury,W,21016,2,"THISTLETHWAITE, Matthew",Labor,0
NSW,118,Farrer,746,Albury,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,118,Farrer,746,Albury,W,21020,4,"MURNAIN, Anne",Labor,0
NSW,118,Farrer,746,Albury,W,21022,5,"SEATON, Fiona",Labor,0
NSW,118,Farrer,746,Albury,W,21025,6,"McDERMOTT, Hugh",Labor,0
NSW,118,Farrer,746,Albury,X,22231,0,X Ticket Votes,,0
NSW,118,Farrer,746,Albury,X,21995,1,"STEFANAC, Jennifer",,0
NSW,118,Farrer,746,Albury,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,118,Farrer,746,Albury,Y,22228,0,Y Ticket Votes,Carers Alliance,2
NSW,118,Farrer,746,Albury,Y,21984,1,"CARTER, Marylou",Carers Alliance,0
NSW,118,Farrer,746,Albury,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,118,Farrer,746,Albury,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),70
NSW,118,Farrer,746,Albury,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),6
NSW,118,Farrer,746,Albury,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,118,Farrer,746,Albury,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),1
NSW,118,Farrer,746,Albury,AA,22210,0,AA Ticket Votes,Liberal/Nationals,783
NSW,118,Farrer,746,Albury,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,2
NSW,118,Farrer,746,Albury,AA,21766,2,"HEFFERNAN, William",Liberal,2
NSW,118,Farrer,746,Albury,AA,21768,3,"NASH, Fiona",The Nationals,1
NSW,118,Farrer,746,Albury,AA,21771,4,"HUGHES, Hollie",Liberal,1
NSW,118,Farrer,746,Albury,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,118,Farrer,746,Albury,AA,21776,6,"BILIC, George",Liberal,0
NSW,118,Farrer,746,Albury,AB,22221,0,AB Ticket Votes,,1
NSW,118,Farrer,746,Albury,AB,21901,1,"ECKFORD, Michael",,0
NSW,118,Farrer,746,Albury,AB,21902,2,"STEVENS, Criselee",,0
NSW,118,Farrer,746,Albury,AC,22225,0,AC Ticket Votes,One Nation,2
NSW,118,Farrer,746,Albury,AC,21824,1,"WEBBER, Andrew",One Nation,1
NSW,118,Farrer,746,Albury,AC,21827,2,"BRETT, John",One Nation,0
NSW,118,Farrer,746,Albury,AD,22208,0,AD Ticket Votes,The Greens,299
NSW,118,Farrer,746,Albury,AD,21147,1,"RHIANNON, Lee",The Greens,15
NSW,118,Farrer,746,Albury,AD,21677,2,"McILROY, Keith",The Greens,1
NSW,118,Farrer,746,Albury,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,118,Farrer,746,Albury,AD,21160,4,"SWIFT, Harriett",The Greens,1
NSW,118,Farrer,746,Albury,AD,21163,5,"MORRISSEY, Simone",The Greens,0
NSW,118,Farrer,746,Albury,AD,21169,6,"KANAK, Dominic Wy",The Greens,1
NSW,118,Farrer,746,Albury,AE,22234,0,AE Ticket Votes,,0
NSW,118,Farrer,746,Albury,AE,22202,1,"KERNOT, Cheryl",,1
NSW,118,Farrer,746,Albury,AE,22201,2,"CANT, Simon",,0
NSW,118,Farrer,746,Albury,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),44
NSW,118,Farrer,746,Albury,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),1
NSW,118,Farrer,746,Albury,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,118,Farrer,746,Albury,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,118,Farrer,746,Albury,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,118,Farrer,746,Albury,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,118,Farrer,746,Albury,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,118,Farrer,746,Albury,UG,21268,4,"PAPE, Bryan",Independent,0
NSW,118,Farrer,746,Albury,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,118,Farrer,746,Albury,ZZ,0,99,INFORMAL,,59
NSW,118,Farrer,747,Albury East,A,22214,0,A Ticket Votes,Socialist Alliance,3
NSW,118,Farrer,747,Albury East,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,118,Farrer,747,Albury East,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,118,Farrer,747,Albury East,B,22230,0,B Ticket Votes,,0
NSW,118,Farrer,747,Albury East,B,22023,1,"HODGES, Robert",,0
NSW,118,Farrer,747,Albury East,B,22024,2,"FRIER, Bob",,0
NSW,118,Farrer,747,Albury East,C,22224,0,C Ticket Votes,,0
NSW,118,Farrer,747,Albury East,C,21904,1,"ROBINSON, Tony",,0
NSW,118,Farrer,747,Albury East,C,21907,2,"SELBY, Noel",,0
NSW,118,Farrer,747,Albury East,D,22215,0,D Ticket Votes,,0
NSW,118,Farrer,747,Albury East,D,21429,1,"HODGES, Darrin",,0
NSW,118,Farrer,747,Albury East,D,21430,2,"FOLKES, Nick",,0
NSW,118,Farrer,747,Albury East,E,22220,0,E Ticket Votes,Building Australia,0
NSW,118,Farrer,747,Albury East,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,118,Farrer,747,Albury East,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,118,Farrer,747,Albury East,F,22212,0,F Ticket Votes,Senator On-Line,0
NSW,118,Farrer,747,Albury East,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,118,Farrer,747,Albury East,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,118,Farrer,747,Albury East,G,22222,0,G Ticket Votes,Communist,0
NSW,118,Farrer,747,Albury East,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,118,Farrer,747,Albury East,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,118,Farrer,747,Albury East,H,22233,0,H Ticket Votes,,0
NSW,118,Farrer,747,Albury East,H,22021,1,"BLOOM, Nadia",,0
NSW,118,Farrer,747,Albury East,H,22022,2,"IRELAND, Bede",,0
NSW,118,Farrer,747,Albury East,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,1
NSW,118,Farrer,747,Albury East,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,118,Farrer,747,Albury East,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,118,Farrer,747,Albury East,J,22219,0,J Ticket Votes,Australian Democrats,6
NSW,118,Farrer,747,Albury East,J,21733,1,"CLANCY, Fiona",Australian Democrats,1
NSW,118,Farrer,747,Albury East,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,118,Farrer,747,Albury East,K,22218,0,K Ticket Votes,,0
NSW,118,Farrer,747,Albury East,K,21714,1,"SAMPSON, Meg",,0
NSW,118,Farrer,747,Albury East,K,21718,2,"HINCHCLIFFE, J",,0
NSW,118,Farrer,747,Albury East,L,22232,0,L Ticket Votes,,0
NSW,118,Farrer,747,Albury East,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,118,Farrer,747,Albury East,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,118,Farrer,747,Albury East,M,22207,0,M Ticket Votes,The Climate Sceptics,2
NSW,118,Farrer,747,Albury East,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,1
NSW,118,Farrer,747,Albury East,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,118,Farrer,747,Albury East,N,22213,0,N Ticket Votes,Secular Party of Australia,2
NSW,118,Farrer,747,Albury East,N,21229,1,"BRYCE, Ian",Secular Party of Australia,0
NSW,118,Farrer,747,Albury East,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,118,Farrer,747,Albury East,O,22216,0,O Ticket Votes,Shooters and Fishers,23
NSW,118,Farrer,747,Albury East,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,0
NSW,118,Farrer,747,Albury East,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,118,Farrer,747,Albury East,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,7
NSW,118,Farrer,747,Albury East,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,118,Farrer,747,Albury East,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,118,Farrer,747,Albury East,Q,22203,0,Q Ticket Votes,Australian Sex Party,29
NSW,118,Farrer,747,Albury East,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,0
NSW,118,Farrer,747,Albury East,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,118,Farrer,747,Albury East,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,0
NSW,118,Farrer,747,Albury East,R,22227,0,R Ticket Votes,,0
NSW,118,Farrer,747,Albury East,R,21993,1,"BARKER, David",,0
NSW,118,Farrer,747,Albury East,R,21994,2,"ZUREIK, S G",,0
NSW,118,Farrer,747,Albury East,S,22204,0,S Ticket Votes,Socialist Equality Party,0
NSW,118,Farrer,747,Albury East,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,118,Farrer,747,Albury East,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,118,Farrer,747,Albury East,T,22223,0,T Ticket Votes,,1
NSW,118,Farrer,747,Albury East,T,21908,1,"BOURKE, William",,0
NSW,118,Farrer,747,Albury East,T,21910,2,"O'CONNOR, Mark",,0
NSW,118,Farrer,747,Albury East,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),2
NSW,118,Farrer,747,Albury East,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,747,Albury East,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,747,Albury East,V,22209,0,V Ticket Votes,Family First,9
NSW,118,Farrer,747,Albury East,V,21178,1,"SWANE, Greg",Family First,1
NSW,118,Farrer,747,Albury East,V,21182,2,"LAMB, Phil",Family First,0
NSW,118,Farrer,747,Albury East,W,22206,0,W Ticket Votes,Labor,209
NSW,118,Farrer,747,Albury East,W,21012,1,"FAULKNER, John",Labor,4
NSW,118,Farrer,747,Albury East,W,21016,2,"THISTLETHWAITE, Matthew",Labor,0
NSW,118,Farrer,747,Albury East,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,118,Farrer,747,Albury East,W,21020,4,"MURNAIN, Anne",Labor,1
NSW,118,Farrer,747,Albury East,W,21022,5,"SEATON, Fiona",Labor,0
NSW,118,Farrer,747,Albury East,W,21025,6,"McDERMOTT, Hugh",Labor,0
NSW,118,Farrer,747,Albury East,X,22231,0,X Ticket Votes,,0
NSW,118,Farrer,747,Albury East,X,21995,1,"STEFANAC, Jennifer",,0
NSW,118,Farrer,747,Albury East,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,118,Farrer,747,Albury East,Y,22228,0,Y Ticket Votes,Carers Alliance,0
NSW,118,Farrer,747,Albury East,Y,21984,1,"CARTER, Marylou",Carers Alliance,0
NSW,118,Farrer,747,Albury East,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,118,Farrer,747,Albury East,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),10
NSW,118,Farrer,747,Albury East,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),4
NSW,118,Farrer,747,Albury East,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,118,Farrer,747,Albury East,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,118,Farrer,747,Albury East,AA,22210,0,AA Ticket Votes,Liberal/Nationals,344
NSW,118,Farrer,747,Albury East,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,0
NSW,118,Farrer,747,Albury East,AA,21766,2,"HEFFERNAN, William",Liberal,0
NSW,118,Farrer,747,Albury East,AA,21768,3,"NASH, Fiona",The Nationals,0
NSW,118,Farrer,747,Albury East,AA,21771,4,"HUGHES, Hollie",Liberal,0
NSW,118,Farrer,747,Albury East,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,118,Farrer,747,Albury East,AA,21776,6,"BILIC, George",Liberal,0
NSW,118,Farrer,747,Albury East,AB,22221,0,AB Ticket Votes,,0
NSW,118,Farrer,747,Albury East,AB,21901,1,"ECKFORD, Michael",,0
NSW,118,Farrer,747,Albury East,AB,21902,2,"STEVENS, Criselee",,0
NSW,118,Farrer,747,Albury East,AC,22225,0,AC Ticket Votes,One Nation,6
NSW,118,Farrer,747,Albury East,AC,21824,1,"WEBBER, Andrew",One Nation,2
NSW,118,Farrer,747,Albury East,AC,21827,2,"BRETT, John",One Nation,0
NSW,118,Farrer,747,Albury East,AD,22208,0,AD Ticket Votes,The Greens,77
NSW,118,Farrer,747,Albury East,AD,21147,1,"RHIANNON, Lee",The Greens,1
NSW,118,Farrer,747,Albury East,AD,21677,2,"McILROY, Keith",The Greens,0
NSW,118,Farrer,747,Albury East,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,118,Farrer,747,Albury East,AD,21160,4,"SWIFT, Harriett",The Greens,0
NSW,118,Farrer,747,Albury East,AD,21163,5,"MORRISSEY, Simone",The Greens,0
NSW,118,Farrer,747,Albury East,AD,21169,6,"KANAK, Dominic Wy",The Greens,0
NSW,118,Farrer,747,Albury East,AE,22234,0,AE Ticket Votes,,0
NSW,118,Farrer,747,Albury East,AE,22202,1,"KERNOT, Cheryl",,0
NSW,118,Farrer,747,Albury East,AE,22201,2,"CANT, Simon",,0
NSW,118,Farrer,747,Albury East,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),14
NSW,118,Farrer,747,Albury East,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),0
NSW,118,Farrer,747,Albury East,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,118,Farrer,747,Albury East,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,118,Farrer,747,Albury East,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,118,Farrer,747,Albury East,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,118,Farrer,747,Albury East,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,118,Farrer,747,Albury East,UG,21268,4,"PAPE, Bryan",Independent,0
NSW,118,Farrer,747,Albury East,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,118,Farrer,747,Albury East,ZZ,0,99,INFORMAL,,27
NSW,118,Farrer,748,Albury Central,A,22214,0,A Ticket Votes,Socialist Alliance,11
NSW,118,Farrer,748,Albury Central,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,118,Farrer,748,Albury Central,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,118,Farrer,748,Albury Central,B,22230,0,B Ticket Votes,,1
NSW,118,Farrer,748,Albury Central,B,22023,1,"HODGES, Robert",,0
NSW,118,Farrer,748,Albury Central,B,22024,2,"FRIER, Bob",,0
NSW,118,Farrer,748,Albury Central,C,22224,0,C Ticket Votes,,1
NSW,118,Farrer,748,Albury Central,C,21904,1,"ROBINSON, Tony",,0
NSW,118,Farrer,748,Albury Central,C,21907,2,"SELBY, Noel",,0
NSW,118,Farrer,748,Albury Central,D,22215,0,D Ticket Votes,,0
NSW,118,Farrer,748,Albury Central,D,21429,1,"HODGES, Darrin",,0
NSW,118,Farrer,748,Albury Central,D,21430,2,"FOLKES, Nick",,0
NSW,118,Farrer,748,Albury Central,E,22220,0,E Ticket Votes,Building Australia,7
NSW,118,Farrer,748,Albury Central,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,118,Farrer,748,Albury Central,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,118,Farrer,748,Albury Central,F,22212,0,F Ticket Votes,Senator On-Line,0
NSW,118,Farrer,748,Albury Central,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,118,Farrer,748,Albury Central,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,118,Farrer,748,Albury Central,G,22222,0,G Ticket Votes,Communist,4
NSW,118,Farrer,748,Albury Central,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,118,Farrer,748,Albury Central,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,118,Farrer,748,Albury Central,H,22233,0,H Ticket Votes,,0
NSW,118,Farrer,748,Albury Central,H,22021,1,"BLOOM, Nadia",,0
NSW,118,Farrer,748,Albury Central,H,22022,2,"IRELAND, Bede",,0
NSW,118,Farrer,748,Albury Central,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,1
NSW,118,Farrer,748,Albury Central,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,118,Farrer,748,Albury Central,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,118,Farrer,748,Albury Central,J,22219,0,J Ticket Votes,Australian Democrats,13
NSW,118,Farrer,748,Albury Central,J,21733,1,"CLANCY, Fiona",Australian Democrats,1
NSW,118,Farrer,748,Albury Central,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,118,Farrer,748,Albury Central,K,22218,0,K Ticket Votes,,2
NSW,118,Farrer,748,Albury Central,K,21714,1,"SAMPSON, Meg",,0
NSW,118,Farrer,748,Albury Central,K,21718,2,"HINCHCLIFFE, J",,0
NSW,118,Farrer,748,Albury Central,L,22232,0,L Ticket Votes,,1
NSW,118,Farrer,748,Albury Central,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,118,Farrer,748,Albury Central,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,118,Farrer,748,Albury Central,M,22207,0,M Ticket Votes,The Climate Sceptics,2
NSW,118,Farrer,748,Albury Central,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,0
NSW,118,Farrer,748,Albury Central,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,118,Farrer,748,Albury Central,N,22213,0,N Ticket Votes,Secular Party of Australia,3
NSW,118,Farrer,748,Albury Central,N,21229,1,"BRYCE, Ian",Secular Party of Australia,2
NSW,118,Farrer,748,Albury Central,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,118,Farrer,748,Albury Central,O,22216,0,O Ticket Votes,Shooters and Fishers,42
NSW,118,Farrer,748,Albury Central,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,3
NSW,118,Farrer,748,Albury Central,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,118,Farrer,748,Albury Central,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,21
NSW,118,Farrer,748,Albury Central,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,1
NSW,118,Farrer,748,Albury Central,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,118,Farrer,748,Albury Central,Q,22203,0,Q Ticket Votes,Australian Sex Party,55
NSW,118,Farrer,748,Albury Central,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,2
NSW,118,Farrer,748,Albury Central,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,118,Farrer,748,Albury Central,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,0
NSW,118,Farrer,748,Albury Central,R,22227,0,R Ticket Votes,,0
NSW,118,Farrer,748,Albury Central,R,21993,1,"BARKER, David",,0
NSW,118,Farrer,748,Albury Central,R,21994,2,"ZUREIK, S G",,0
NSW,118,Farrer,748,Albury Central,S,22204,0,S Ticket Votes,Socialist Equality Party,1
NSW,118,Farrer,748,Albury Central,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,118,Farrer,748,Albury Central,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,118,Farrer,748,Albury Central,T,22223,0,T Ticket Votes,,0
NSW,118,Farrer,748,Albury Central,T,21908,1,"BOURKE, William",,0
NSW,118,Farrer,748,Albury Central,T,21910,2,"O'CONNOR, Mark",,0
NSW,118,Farrer,748,Albury Central,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),2
NSW,118,Farrer,748,Albury Central,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,748,Albury Central,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,748,Albury Central,V,22209,0,V Ticket Votes,Family First,21
NSW,118,Farrer,748,Albury Central,V,21178,1,"SWANE, Greg",Family First,0
NSW,118,Farrer,748,Albury Central,V,21182,2,"LAMB, Phil",Family First,0
NSW,118,Farrer,748,Albury Central,W,22206,0,W Ticket Votes,Labor,501
NSW,118,Farrer,748,Albury Central,W,21012,1,"FAULKNER, John",Labor,3
NSW,118,Farrer,748,Albury Central,W,21016,2,"THISTLETHWAITE, Matthew",Labor,0
