2022 Federal Election Senate First Preferences By Polling Place for Division 211 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:40 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
VIC,211,Flinders,3605,Mornington,A,37909,0,A Above-the-line Votes,Reason Australia,8
VIC,211,Flinders,3605,Mornington,A,36960,1,"VEGA, Yolanda",Reason Australia,2
VIC,211,Flinders,3605,Mornington,A,36963,2,"MILLWARD, Harry",Reason Australia,0
VIC,211,Flinders,3605,Mornington,B,37921,0,B Above-the-line Votes,,6
VIC,211,Flinders,3605,Mornington,B,37624,1,"RICHARDSON, Damien",,2
VIC,211,Flinders,3605,Mornington,B,37628,2,"McBRIDE, John",,0
VIC,211,Flinders,3605,Mornington,C,37915,0,C Above-the-line Votes,Australian Democrats,7
VIC,211,Flinders,3605,Mornington,C,37391,1,"GREEN, Leonie",Australian Democrats,3
VIC,211,Flinders,3605,Mornington,C,37400,2,"JAGOE, Stephen Peter",Australian Democrats,0
VIC,211,Flinders,3605,Mornington,D,37903,0,D Above-the-line Votes,Liberal/The Nationals,647
VIC,211,Flinders,3605,Mornington,D,36604,1,"HENDERSON, Sarah",Liberal,11
VIC,211,Flinders,3605,Mornington,D,36614,2,"McKENZIE, Bridget",The Nationals,3
VIC,211,Flinders,3605,Mornington,D,36617,3,"MIRABELLA, Greg",Liberal,0
VIC,211,Flinders,3605,Mornington,D,36621,4,"KMETJ, Chrestyna",Liberal,2
VIC,211,Flinders,3605,Mornington,D,36627,5,"HARRINGTON, Mick",The Nationals,1
VIC,211,Flinders,3605,Mornington,D,36632,6,"BURGESS, David",Liberal,0
VIC,211,Flinders,3605,Mornington,E,37919,0,E Above-the-line Votes,Legalise Cannabis Australia,28
VIC,211,Flinders,3605,Mornington,E,37553,1,"SMITH, Elissa",Legalise Cannabis Australia,3
VIC,211,Flinders,3605,Mornington,E,37559,2,"TAYLOR, Wayne",Legalise Cannabis Australia,0
VIC,211,Flinders,3605,Mornington,F,37917,0,F Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,8
VIC,211,Flinders,3605,Mornington,F,37448,1,"WEARNE, Madeleine",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
VIC,211,Flinders,3605,Mornington,F,37454,2,"LONG, Robert",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
