2019 Federal Election Senate First Preferences By Polling Place for Division 207 [Event:24310 Phase:FinalResults Generated:2019-07-30T11:11:01 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
VIC,207,Corangamite,3308,Meredith,A,33782,0,A Ticket Votes,LIBERAL/THE NATIONALS,136
VIC,207,Corangamite,3308,Meredith,A,33012,1,"PATERSON, James",Liberal,3
VIC,207,Corangamite,3308,Meredith,A,33008,2,"HUME, Jane",Liberal,1
VIC,207,Corangamite,3308,Meredith,A,33007,3,"VAN, David",Liberal,1
VIC,207,Corangamite,3308,Meredith,A,33004,4,"RANK, Anita",The Nationals,1
VIC,207,Corangamite,3308,Meredith,A,33002,5,"HOPPITT, Kyle",Liberal,1
VIC,207,Corangamite,3308,Meredith,A,33013,6,"MULCAHY, Julian",Liberal,1
VIC,207,Corangamite,3308,Meredith,B,33761,0,B Ticket Votes,Republican Party of Australia,0
VIC,207,Corangamite,3308,Meredith,B,32104,1,"LUTZ, Geoff",Republican Party of Australia,0
VIC,207,Corangamite,3308,Meredith,B,32105,2,"CONSANDINE, Peter",Republican Party of Australia,0
VIC,207,Corangamite,3308,Meredith,C,33764,0,C Ticket Votes,Socialist Equality Party,1
VIC,207,Corangamite,3308,Meredith,C,32134,1,"PIETSCH, Tessa",Socialist Equality Party,1
VIC,207,Corangamite,3308,Meredith,C,32135,2,"WARDLE, Jason John Bradley",Socialist Equality Party,0
VIC,207,Corangamite,3308,Meredith,D,33759,0,D Ticket Votes,The Small Business Party,3
VIC,207,Corangamite,3308,Meredith,D,32106,1,"KEMP, Simon",The Small Business Party,0
VIC,207,Corangamite,3308,Meredith,D,32107,2,"GRAHAM, Peter",The Small Business Party,0
VIC,207,Corangamite,3308,Meredith,E,33784,0,E Ticket Votes,Christian Democratic Party (Fred Nile Group),2
VIC,207,Corangamite,3308,Meredith,E,33449,1,"PAYNE, Bob",Christian Democratic Party (Fred Nile Group),0
VIC,207,Corangamite,3308,Meredith,E,33454,2,"MURPHY, Kevin",Christian Democratic Party (Fred Nile Group),0
VIC,207,Corangamite,3308,Meredith,F,33770,0,F Ticket Votes,United Australia Party,10
VIC,207,Corangamite,3308,Meredith,F,32262,1,"THOOLEN, Catriona Cecilia",United Australia Party,0
VIC,207,Corangamite,3308,Meredith,F,32265,2,"O'CONNOR, Katie Lucinda",United Australia Party,0
VIC,207,Corangamite,3308,Meredith,F,32276,3,"McKAY, Roger",United Australia Party,0
VIC,207,Corangamite,3308,Meredith,G,33781,0,G Ticket Votes,"Shooters, Fishers and Farmers",23
VIC,207,Corangamite,3308,Meredith,G,32945,1,"MUIR, Ricky","Shooters, Fishers and Farmers",0
VIC,207,Corangamite,3308,Meredith,G,32947,2,"STOCK, Damian","Shooters, Fishers and Farmers",0
VIC,207,Corangamite,3308,Meredith,H,33767,0,H Ticket Votes,Climate Action! Immigration Action! Accountable Politicians!,0
VIC,207,Corangamite,3308,Meredith,H,32171,1,"AYTON, Philip John",Climate Action! Immigration Action! Accountable Politicians!,0
VIC,207,Corangamite,3308,Meredith,H,32169,2,"KOMPARA, Monika",Climate Action! Immigration Action! Accountable Politicians!,0
VIC,207,Corangamite,3308,Meredith,I,33758,0,I Ticket Votes,Derryn Hinch's Justice Party,19
VIC,207,Corangamite,3308,Meredith,I,32101,1,"HINCH, Derryn",Derryn Hinch's Justice Party,0
VIC,207,Corangamite,3308,Meredith,I,32103,2,"O'BRIEN, Simone",Derryn Hinch's Justice Party,0
VIC,207,Corangamite,3308,Meredith,J,33779,0,J Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,4
VIC,207,Corangamite,3308,Meredith,J,32877,1,"HOOD, Frances",Help End Marijuana Prohibition (HEMP) Party,1
VIC,207,Corangamite,3308,Meredith,J,32904,2,"GLADMAN, Heather Marie",Help End Marijuana Prohibition (HEMP) Party,0
VIC,207,Corangamite,3308,Meredith,K,33765,0,K Ticket Votes,Citizens Electoral Council,0
VIC,207,Corangamite,3308,Meredith,K,32150,1,"ISHERWOOD, Craig",Citizens Electoral Council,0
VIC,207,Corangamite,3308,Meredith,K,32147,2,"PEUT, Gabrielle",Citizens Electoral Council,0
VIC,207,Corangamite,3308,Meredith,L,33762,0,L Ticket Votes,Australian Democrats,2
VIC,207,Corangamite,3308,Meredith,L,32108,1,"COLLYER, David",Australian Democrats,1
VIC,207,Corangamite,3308,Meredith,L,32109,2,"WILLIAMS, Marc",Australian Democrats,0
VIC,207,Corangamite,3308,Meredith,M,33775,0,M Ticket Votes,Independents For Climate Action Now,2
VIC,207,Corangamite,3308,Meredith,M,32472,1,"WITTWER, Paul",Independents For Climate Action Now,0
VIC,207,Corangamite,3308,Meredith,M,32480,2,"CORDNER HUNT, Kammy",Independents For Climate Action Now,0
VIC,207,Corangamite,3308,Meredith,N,33786,0,N Ticket Votes,Liberal Democrats,5
VIC,207,Corangamite,3308,Meredith,N,33610,1,"KENNEDY, Robert",Liberal Democrats,0
VIC,207,Corangamite,3308,Meredith,N,33604,2,"O'SULLIVAN, Kirsty Maree",Liberal Democrats,0
