2022 Federal Election Senate First Preferences By Polling Place for Division 145 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:27 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,145,Richmond,2044,Ballina,A,37972,0,A Above-the-line Votes,Animal Justice Party,35
NSW,145,Richmond,2044,Ballina,A,36425,1,"BROLLO, Darren",Animal Justice Party,1
NSW,145,Richmond,2044,Ballina,A,36430,2,"POWER, Julie",Animal Justice Party,0
NSW,145,Richmond,2044,Ballina,B,37966,0,B Above-the-line Votes,TNL,2
NSW,145,Richmond,2044,Ballina,B,36771,1,"KEEN, Steve",TNL,2
NSW,145,Richmond,2044,Ballina,B,36773,2,"GREEN, Melissa",TNL,0
NSW,145,Richmond,2044,Ballina,C,37976,0,C Above-the-line Votes,Citizens Party,6
NSW,145,Richmond,2044,Ballina,C,37147,1,"LIU, Kingsley",Citizens Party,0
NSW,145,Richmond,2044,Ballina,C,37148,2,"LAWLER, Ann",Citizens Party,0
NSW,145,Richmond,2044,Ballina,D,37984,0,D Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,17
NSW,145,Richmond,2044,Ballina,D,37149,1,"LAMB, Georgia",Sustainable Australia Party - Stop Overdevelopment / Corruption,5
NSW,145,Richmond,2044,Ballina,D,37152,2,"DE VIVE, Suzanne",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,145,Richmond,2044,Ballina,E,37968,0,E Above-the-line Votes,The Greens,514
NSW,145,Richmond,2044,Ballina,E,36581,1,"SHOEBRIDGE, David",The Greens,15
NSW,145,Richmond,2044,Ballina,E,36585,2,"COHN, Amanda",The Greens,1
NSW,145,Richmond,2044,Ballina,E,36634,3,"FLOOD, Rochelle",The Greens,1
NSW,145,Richmond,2044,Ballina,E,36637,4,"SCOTT, Jane",The Greens,4
NSW,145,Richmond,2044,Ballina,E,36639,5,"ARYA, Hawa",The Greens,0
NSW,145,Richmond,2044,Ballina,E,36638,6,"WHEELER, Danielle",The Greens,2
NSW,145,Richmond,2044,Ballina,F,37969,0,F Above-the-line Votes,,5
NSW,145,Richmond,2044,Ballina,F,37143,1,"BODDY, Max",,0
NSW,145,Richmond,2044,Ballina,F,37145,2,"GRENFELL, Oscar",,0
NSW,145,Richmond,2044,Ballina,G,37983,0,G Above-the-line Votes,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",523
NSW,145,Richmond,2044,Ballina,G,37567,1,"PAYNE, Marise",Liberal,13
NSW,145,Richmond,2044,Ballina,G,37576,2,"CADELL, Ross",The Nationals,1
NSW,145,Richmond,2044,Ballina,G,37577,3,"MOLAN, Jim",Liberal,2
NSW,145,Richmond,2044,Ballina,G,37578,4,"PENFOLD, Alison Louise",The Nationals,0
NSW,145,Richmond,2044,Ballina,G,37581,5,"JARVIS, Mary-Lou",Liberal,0
NSW,145,Richmond,2044,Ballina,G,37584,6,"McGAHEY, Vicky",Liberal,1
NSW,145,Richmond,2044,Ballina,H,37981,0,H Above-the-line Votes,Reason Australia,3
NSW,145,Richmond,2044,Ballina,H,37396,1,"CARO, Jane",Reason Australia,0
NSW,145,Richmond,2044,Ballina,H,37397,2,"MAHER, Hannah Kate",Reason Australia,0
NSW,145,Richmond,2044,Ballina,H,37402,3,"RYALL, Diana",Reason Australia,0
NSW,145,Richmond,2044,Ballina,I,37987,0,I Above-the-line Votes,Socialist Alliance,0
NSW,145,Richmond,2044,Ballina,I,37484,1,"SANCHEZ, Paula",Socialist Alliance,0
