2013 Federal Election Senate First Preferences By Polling Place for Division 235 [Event:17496 Phase:FinalResults Generated:2014-10-28T11:24:31 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
WA,235,Brand,7472,Baldivis,A,25225,0,A Ticket Votes,Smokers Rights,10
WA,235,Brand,7472,Baldivis,A,24717,1,"KATZ-BARBER, Max",Smokers Rights,0
WA,235,Brand,7472,Baldivis,A,24719,2,"DI RADO, Daniel",Smokers Rights,0
WA,235,Brand,7472,Baldivis,B,25223,0,B Ticket Votes,Liberal Democrats,99
WA,235,Brand,7472,Baldivis,B,24701,1,"FRYAR, Jim",Liberal Democrats,0
WA,235,Brand,7472,Baldivis,B,24705,2,"HAMILTON, Neil",Liberal Democrats,0
WA,235,Brand,7472,Baldivis,C,25219,0,C Ticket Votes,Australian Christians,79
WA,235,Brand,7472,Baldivis,C,24264,1,"van BURGEL, Jamie",Australian Christians,2
WA,235,Brand,7472,Baldivis,C,24266,2,"MOSELEY, Justin",Australian Christians,0
WA,235,Brand,7472,Baldivis,D,25230,0,D Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,26
WA,235,Brand,7472,Baldivis,D,25020,1,"BALDERSTONE, Michael",Help End Marijuana Prohibition (HEMP) Party,0
WA,235,Brand,7472,Baldivis,D,25023,2,"MOYLAN, Tayla",Help End Marijuana Prohibition (HEMP) Party,0
WA,235,Brand,7472,Baldivis,E,25218,0,E Ticket Votes,Socialist Equality Party,1
WA,235,Brand,7472,Baldivis,E,24208,1,"SYMONDS, Peter",Socialist Equality Party,0
WA,235,Brand,7472,Baldivis,E,24214,2,"LOPEZ, Joe",Socialist Equality Party,0
WA,235,Brand,7472,Baldivis,F,25209,0,F Ticket Votes,Palmer United Party,244
WA,235,Brand,7472,Baldivis,F,23607,1,"WANG, Zhenya",Palmer United Party,5
WA,235,Brand,7472,Baldivis,F,23609,2,"TERBLANCHE, Chamonix",Palmer United Party,0
WA,235,Brand,7472,Baldivis,G,25206,0,G Ticket Votes,Shooters and Fishers,19
WA,235,Brand,7472,Baldivis,G,23229,1,"BOW, Murray",Shooters and Fishers,0
WA,235,Brand,7472,Baldivis,G,23230,2,"PARKES, John David",Shooters and Fishers,0
WA,235,Brand,7472,Baldivis,H,25226,0,H Ticket Votes,Australian Voice Party,2
WA,235,Brand,7472,Baldivis,H,24728,1,"PARKES, Brian W",Australian Voice Party,0
WA,235,Brand,7472,Baldivis,H,24732,2,"BUTLER, Sean",Australian Voice Party,0
WA,235,Brand,7472,Baldivis,I,25228,0,I Ticket Votes,Sex Party,51
WA,235,Brand,7472,Baldivis,I,24792,1,"PALMER, Steve",Sex Party,2
WA,235,Brand,7472,Baldivis,I,24795,2,"COLEMAN, Mark",Sex Party,0
WA,235,Brand,7472,Baldivis,J,25210,0,J Ticket Votes,Secular Party of Australia,3
WA,235,Brand,7472,Baldivis,J,23705,1,"ATKINS, Edward",Secular Party of Australia,0
WA,235,Brand,7472,Baldivis,J,23707,2,"CUTHBERT, Simon Andrew",Secular Party of Australia,0
WA,235,Brand,7472,Baldivis,K,25213,0,K Ticket Votes,Australian Independents,7
WA,235,Brand,7472,Baldivis,K,24132,1,"HIGGINS, Daryl",Australian Independents,0
WA,235,Brand,7472,Baldivis,K,24138,2,"IRVING, Patricia",Australian Independents,0
WA,235,Brand,7472,Baldivis,L,25214,0,L Ticket Votes,The Wikileaks Party,8
WA,235,Brand,7472,Baldivis,L,23870,1,"GEORGATOS, Gerry",The Wikileaks Party,1
WA,235,Brand,7472,Baldivis,L,23879,2,"RAJAN, Suresh",The Wikileaks Party,0
WA,235,Brand,7472,Baldivis,M,25221,0,M Ticket Votes,Katter's Australian Party,3
WA,235,Brand,7472,Baldivis,M,24351,1,"FELS, Anthony James",Katter's Australian Party,1
